country,city,year,methodology,concentration_pm10,concentration_pm25,sea_salt,dust,traffic,industry,biomass_burn,other_source,latitude,longitude,population,study_year,iso3,region,continent,reference_author,site_typology,season
Indonesia,Jakarta,2009,PMF,,30.0,13.0,9.2,52.4,7.5,30.9,0.0,-6.2068,106.84,9608000.0,2013,IDN,South Eastern Asia,AS,Santoso78,urban,year
Indonesia,Pekanbaru,2005,CMB,,140.0,13.0,40.6,27.5,6.6,18.0,7.300000000000011,0.5342722,101.450236,897767.0,2007,IDN,South Eastern Asia,AS,See79,urban,spring
Iran,Ahvaz,2010,PMF,372.0,,8.0,41.5,17.0,19.0,5.0,9.5,31.319,48.67,1112000.0,2013,IRN,Middle East,ME,Sowlat55,urban,year
Iran,Ahvaz,2011,PMF,372.0,,8.0,41.5,17.0,19.0,5.0,9.5,31.319,48.67,1112000.0,2013,IRN,Middle East,ME,Sowlat55,urban,year
Ireland,Cork,2008,PMF,15.625,12.4,14.0,11.0,19.0,31.0,14.0,36.0,51.8978722,-8.47120555,119230.0,2010,IRL,Northwestern Europe,EU,"Hellebust154,155",urban-harb,year
Ireland,Cork Harbour,2008,PMF,15.625,9.7,14.0,11.0,23.0,12.47,4.7,34.83,51.843055,-8.266388,119230.0,2010,IRL,Northwestern Europe,EU,Healy153,urban-harb,summer
Ireland,County Cork,2005,PCA,20.0,11.05,12.0,8.0,53.0,9.9,9.35,17.099999999999994,51.8036055,-8.33949166,480909.0,2010,IRL,Northwestern Europe,EU,Byrd139,urban-coastal,spring
Ireland,Mace Head,1988,PMF,15.0,11.05,60.0,0.4,31.666666666666668,17.79,9.35,39.6,53.3247916,-9.903275,0.0,2001,IRL,Northwestern Europe,EU,Huang156,remote-coastal,year
Ireland,Mace Head,1989,PMF,15.0,11.05,60.0,0.4,31.666666666666668,17.79,9.35,39.6,53.3247916,-9.903275,0.0,2001,IRL,Northwestern Europe,EU,Huang156,remote-coastal,year
Ireland,Mace Head,1990,PMF,15.0,11.05,60.0,0.4,31.666666666666668,17.79,9.35,39.6,53.3247916,-9.903275,0.0,2001,IRL,Northwestern Europe,EU,Huang156,remote-coastal,year
Ireland,Mace Head,1991,PMF,15.0,11.05,60.0,0.4,31.666666666666668,17.79,9.35,39.6,53.3247916,-9.903275,0.0,2001,IRL,Northwestern Europe,EU,Huang156,remote-coastal,year
Ireland,Mace Head,1992,PMF,15.0,11.05,60.0,0.4,31.666666666666668,17.79,9.35,39.6,53.3247916,-9.903275,0.0,2001,IRL,Northwestern Europe,EU,Huang156,remote-coastal,year
Ireland,Mace Head,1993,PMF,15.0,11.05,60.0,0.4,31.666666666666668,17.79,9.35,39.6,53.3247916,-9.903275,0.0,2001,IRL,Northwestern Europe,EU,Huang156,remote-coastal,year
Ireland,Mace Head,1994,PMF,15.0,11.05,60.0,0.4,31.666666666666668,17.79,9.35,39.6,53.3247916,-9.903275,0.0,2001,IRL,Northwestern Europe,EU,Huang156,remote-coastal,year
Italy,Bari,2005,APCS,27.45,12.46,12.0,20.0,14.0,25.8,23.0,54.0,41.126,16.867819,322751.0,2008,ITA,Southwestern Europe,EU,Bruno138,urban,fall
Italy,Bergamo,2007,CMB + PMF,80.0,22.825,3.0515833333333333,10.5,26.0,14.2,11.5,52.0,45.694902,9.66989,118700.0,2010,ITA,Southwestern Europe,EU,Larsen162,urban,winter
Italy,Brescia,2007,CMB + PMF,87.0,22.825,3.0515833333333333,14.0,25.0,14.2,10.555555555555555,50.44444444444444,45.539525,10.223069,192700.0,2010,ITA,Southwestern Europe,EU,Larsen162,urban,winter
Italy,Brescia,2009,CMB + PMF,80.0,79.0,1.375,8.5,14.0,1.0,10.0,67.5,45.539525,10.223069,192700.0,2010,ITA,Southwestern Europe,EU,Larsen162,urban,winter
Italy,Cantu,2007,CMB + PMF,69.0,22.825,3.0515833333333333,6.0,29.0,14.2,17.5,47.5,45.739505,9.129441,40000.0,2010,ITA,Southwestern Europe,EU,Larsen162,urban,winter
Italy,Cantù,2009,CMB + PMF,80.0,77.0,1.375,4.0,16.5,1.0,17.5,62.0,45.739505,9.129441,40000.0,2010,ITA,Southwestern Europe,EU,Larsen162,urban,winter
Italy,Capannori,2005,PMF,20.0,16.23,5.0,18.0,25.0,25.8,23.0,29.0,43.842838,10.56928,45000.0,2011,ITA,Southwestern Europe,EU,Lucarelli212,urban,year
Italy,Capannori,2006,PMF,20.0,12.2,5.0,18.0,25.0,38.0,23.0,29.0,43.842838,10.56928,45000.0,2011,ITA,Southwestern Europe,EU,Lucarelli212,urban,year
Italy,Catania,2005,MC,34.9,16.23,15.0,35.0,30.0,25.8,23.0,20.0,37.50248,15.087655,294525.0,2007,ITA,Southwestern Europe,EU,Rinaldi181,urban,spring
Italy,Civitavecchia,2008,CMB + PMF,33.0,27.428571428571427,3.0,37.0,39.0,14.5,4.0,25.5,42.09118,11.796713,51449.0,2011,ITA,Southwestern Europe,EU,Andriani133,urban,summer
Italy,Florence,2001,FA,17.7,13.0,15.0,17.5,44.5,15.0,15.156966666666667,23.0,43.7688888,11.25701111,370292.0,2003,ITA,Southwestern Europe,EU,D'Alessandro145,urban,year
Italy,Genoa,2005,PMF,27.45,20.0,8.5,13.0,19.5,25.8,23.0,33.2,44.406388,8.9337527,608826.0,2008,ITA,Southwestern Europe,EU,Mazzei170,urban,summer
Italy,Lodi,2007,PMF + CMB,72.0,22.825,1.5,8.0,15.0,14.2,13.0,68.33333333333333,45.313044,9.4977916,43465.0,2010,ITA,Southwestern Europe,EU,Larsen162,rural,winter
Italy,Lodi,2009,PMF,80.0,68.55555555555556,1.5,7.142857142857143,14.285714285714286,1.0,10.0,68.57142857142857,45.313044,9.4977916,43465.0,2010,ITA,Southwestern Europe,EU,Larsen162,rural,winter
Italy,Mantova,2007,CMB + PMF,76.0,22.825,1.0,6.5,10.0,14.2,9.225806451612904,73.7741935483871,45.16050833,10.797597,48588.0,2010,ITA,Southwestern Europe,EU,Larsen162,urban,winter
Italy,Mantova,2009,CMB + PMF,80.0,73.0,1.0,5.5,9.0,1.0,14.5,70.5,45.16050833,10.797597,48588.0,2010,ITA,Southwestern Europe,EU,Larsen162,urban,winter
Italy,Milan,2007,PMF + CMB,93.25,22.825,2.0,7.763157894736842,37.0,14.2,9.802631578947368,48.81578947368421,45.4640695,9.1880333,1316000.0,2010,ITA,Southwestern Europe,EU,Larsen162,urban,winter
Italy,Milan,2009,PMF + CMB,86.0,76.33333333333333,2.0,6.388888888888889,26.22222222222222,1.0,11.625,58.708333333333336,45.4640695,9.1880333,1316000.0,2010,ITA,Southwestern Europe,EU,Larsen162,urban,winter + summer
Italy,Milano,2001,APCFA,63.0,45.0,0.84875,14.4,36.85,7.6,15.156966666666667,44.95,45.466191,9.188544,1316000.0,2003,ITA,Southwestern Europe,EU,Marcazzan166,urban,year
Italy,Milano,2007,CMB,52.0,28.75,0.8095,1.1808888888888889,18.205,7.6,15.9066,64.178,45.5219444,9.2127777,1316000.0,2011,ITA,Southwestern Europe,EU,Perrone214,urban,summer + winter + spring + fall
Italy,Milano,2008,CMB,52.0,27.428571428571427,0.888,0.8685,17.605555555555554,7.6,14.407333333333334,66.52444444444444,45.5219444,9.2127777,1316000.0,2011,ITA,Southwestern Europe,EU,Perrone214,urban,summer + winter + spring + fall
Italy,Modena,2004,APCS,36.0,34.2955719759168,3.0,28.0,17.0,13.1,16.118525041613633,52.0,44.647313,10.92504722,183900.0,2006,ITA,Southwestern Europe,EU,D'Alessandro145,urban,summer
Italy,Mount Cimone,2004,APCS,16.0,34.2955719759168,0.5,25.0,17.0,13.1,16.118525041613633,74.5,44.193438,10.7,0.0,2006,ITA,Southwestern Europe,EU,Marenco167,remote,summer
Italy,Naples,2001,FA,16.3,15.7,19.0,24.5,37.5,6.0,15.156966666666667,16.0,40.84015,14.2515138,989111.0,2003,ITA,Southwestern Europe,EU,D'Alessandro145,urban,year
Italy,Rome,2003,PCA,35.0,34.2955719759168,11.0,40.0,23.021564260112648,13.1,16.118525041613633,49.0,41.84785,12.4946833,2753000.0,2006,ITA,Southwestern Europe,EU,Canepari142,urban,spring
Italy,Sannnazzaro,2007,PMF + CMB,56.0,22.825,1.0,7.0,11.5,14.2,10.5,74.0,45.10338,8.907558,5920.0,2010,ITA,Southwestern Europe,EU,Larsen162,rural,winter
Italy,Sannnazzaro,2009,PMF + CMB,80.0,55.0,1.0,4.347826086956522,7.5,1.0,15.5,74.82608695652173,45.10338,8.907558,5920.0,2010,ITA,Southwestern Europe,EU,Larsen162,rural,winter
Italy,Saronno,2009,CMB + PMF,74.0,68.55555555555556,1.375,5.0,33.0,1.0,11.5,50.5,45.6255138,9.0373,39422.0,2010,ITA,Southwestern Europe,EU,Larsen162,urban,winter
Italy,Sondrio,2007,PMF + CMB,52.0,22.825,3.0515833333333333,9.0,28.0,6.0,32.0,32.5,46.17145,9.869722222,22043.0,2010,ITA,Southwestern Europe,EU,Larsen162,residential alpine,winter
Italy,Sondrio,2009,PMF + CMB,80.0,51.0,1.375,5.0,38.5,1.0,30.5,28.0,46.17145,9.869722222,22043.0,2010,ITA,Southwestern Europe,EU,Larsen162,residential alpine,winter
Italy,Trieste,2006,PCA,20.0,12.2,13.0,18.0,8.0,38.0,23.0,41.0,45.586944,13.77833,205500.0,2009,ITA,Southwestern Europe,EU,"Astel136,137",urban-harb,year
Italy,Venice,2007,FA + PCA,19.0,16.9,12.0,21.45,24.0,29.0,14.443399287346203,19.55,45.433808,12.339308,270600.0,2009,ITA,Southwestern Europe,EU,Masiol168 + Stortini187,urban-harb,summer + year
Japan,Akagi,2003,CMB,,9.0,,80.0,0.2,11.6,,8.200000000000003,36.5,139.2,0.0,2008,JPN,Japan,AS,Iijima44,remote,year
Japan,Akagi,2004,CMB,,9.0,,80.0,0.2,11.6,,8.200000000000003,36.5,139.2,0.0,2008,JPN,Japan,AS,Iijima44,remote,year
Japan,Akagi,2005,CMB,,9.0,,80.0,0.2,11.6,,8.200000000000003,36.5,139.2,0.0,2008,JPN,Japan,AS,Iijima44,remote,year
Japan,Akagi,2006,CMB,,9.0,,80.0,0.2,11.6,,8.200000000000003,36.5,139.2,0.0,2008,JPN,Japan,AS,Iijima44,remote,year
Japan,Maebashi,2003,CMB,,9.0,,54.4,0.5,43.0,,2.0999999999999943,36.4,139.1,340921.0,2008,JPN,Japan,AS,Iijima44,suburban,year
Japan,Maebashi,2004,CMB,,9.0,,54.4,0.5,43.0,,2.0999999999999943,36.4,139.1,340921.0,2008,JPN,Japan,AS,Iijima44,suburban,year
Japan,Maebashi,2005,CMB,,9.0,,54.4,0.5,43.0,,2.0999999999999943,36.4,139.1,340921.0,2008,JPN,Japan,AS,Iijima44,suburban,year
Japan,Maebashi,2006,CMB,,9.0,,54.4,0.5,43.0,,2.0999999999999943,36.4,139.1,340921.0,2008,JPN,Japan,AS,Iijima44,suburban,year
Japan,Tokyo,2003,CMB,,9.0,,30.0,45.0,25.0,,0.0,35.7,139.7,13350000.0,2008,JPN,Japan,AS,Iijima44,urban,year
Japan,Tokyo,2004,CMB,,9.0,,30.0,45.0,25.0,,0.0,35.7,139.7,13350000.0,2008,JPN,Japan,AS,Iijima44,urban,year
Japan,Tokyo,2005,CMB,,9.0,,30.0,45.0,25.0,,0.0,35.7,139.7,13350000.0,2008,JPN,Japan,AS,Iijima44,urban,year
Japan,Tokyo,2006,CMB,,9.0,,30.0,45.0,25.0,,0.0,35.7,139.7,13350000.0,2008,JPN,Japan,AS,Iijima44,urban,year
Korea,Daejeon,2000,PMF,85.8,30.511111111111116,3.1555555555555554,16.0,21.0,17.0,3.0,43.0,36.3509722,127.384433,1443000.0,2010,KOR,Korea region,AS,Lim46,industrial,year
Korea,Daejeon,2001,PMF,85.8,23.0,2.8,16.0,21.0,17.0,3.0,43.0,36.3509722,127.384433,1443000.0,2010,KOR,Korea region,AS,Lim46,industrial,year
Korea,Daejeon,2002,PMF,85.8,23.0,2.8,16.0,21.0,17.0,3.0,43.0,36.3509722,127.384433,1443000.0,2010,KOR,Korea region,AS,Lim46,industrial,year
Korea,Incheon,2009,PMF,85.8,38.0,5.9,6.1,23.0,14.6,6.1,44.3,37.28,126.39,2531000.0,2013,KOR,Korea region,AS,Choi45,urban,year
Korea,Incheon,2010,PMF,85.8,38.0,5.9,6.1,23.0,14.6,6.1,44.3,37.28,126.39,2531000.0,2013,KOR,Korea region,AS,Choi45,urban,year
Korea,Jeju Island,2001,PMF,85.8,23.0,2.8,8.4,10.3,16.1,7.1,55.3,33.28333,126.16666,605524.0,2008,KOR,Korea region,AS,Moon47,remote,year
Korea,Jeju Island,2002,PMF,85.8,23.0,2.8,8.4,10.3,16.1,7.1,55.3,33.28333,126.16666,605524.0,2008,KOR,Korea region,AS,Moon47,remote,year
Korea,Jeju Island,2003,PMF,85.8,23.0,2.8,8.4,10.3,16.1,7.1,55.3,33.28333,126.16666,605524.0,2008,KOR,Korea region,AS,Moon47,remote,year
Korea,Seoul,1998,PCA-MLR + CMB,85.8,41.8,1.3,11.1,23.5,15.9,4.0,46.85,37.56685,126.978166,9820000.0,2005,KOR,Korea region,AS,Park48,urban,year
Korea,Seoul,1999,PCA-MLR + CMB,85.8,41.8,1.3,11.1,23.5,15.9,4.0,46.85,37.56685,126.978166,9820000.0,2005,KOR,Korea region,AS,Park48,urban,year
